產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-112年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-112年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"通信網路業","3152","璟德","217220","267","814","757","7.53%","646","613","5.38%","6.21","840","2.51","N","Y","N","本公司產品特性為少量多樣，故需要投入一定比例之工廠產線人力。113年公司直接人工(包含外籍移工)佔比逾5成，致使員工薪資平均數低於同業水準。","1.年度依績效考核結果調整薪資。
2.章程增訂年度盈餘提撥給基層員工酬勞比率。",
"電機機械","3162","精確","3242","5","648","746","-13.14%","639","695","-8.06%","0.54","725","2.47","N","N","N","","",
"通信網路業","3163","波若威","123167","126","978","1018","-3.93%","813","836","-2.75%","5.75","840","2.51","N","N","Y","本公司113年獲利主要來自業外貢獻，致整體獎金發放較前一年度減少。","未來公司將持續精進本業獲利能力，以提升員工薪酬，創造雙贏。",
"半導體業","3169","亞信","101797","64","1591","1590","0.06%","1399","1392","0.50%","3.42","1307","5.21","N","N","N","","",
"居家生活","3171","炎洲流通","134158","152","883","843","4.75%","562","527","6.64%","2.12","694","8.76","N","N","N","","",
"生技醫療業","3176","基亞","33563","32","1049","870","20.57%","906","762","18.90%","-1.47","787","0.41","N","N","N","","",
"半導體業","3178","公準","402820","701","575","589","-2.38%","514","512","0.39%","1.06","1307","5.21","N","N","N","","",
"建材營造","3188","鑫龍騰","15952","15","1063","1128","-5.76%","827","910","-9.12%","2.21","1007","3.22","N","N","Y","主因係人員異動之緣故，離職與新進人員的薪資差","員工薪酬依個人績效表現核定，獲利佳，員工獎勵相對增加，惟因人員異動以致離職與新進人員之薪資差，不在此限。",
"電子零組件業","3191","雲嘉南","2969","5","594","556","6.83%","596","598","-0.33%","-0.57","747","2.21","N","N","N","","",
"生技醫療業","3205","佰研","25261","39","648","627","3.35%","528","561","-5.88%","-1.49","787","0.41","N","N","N","","",
"電子零組件業","3206","志豐","57114","47","1215","1127","7.81%","1204","1058","13.80%","4.10","747","2.21","N","N","N","","",
"電子零組件業","3207","耀勝","27850","46","605","844","-28.32%","562","850","-33.88%","-0.16","747","2.21","N","N","N","","",
"電腦及週邊設備業","3211","順達","259660","201","1292","1252","3.19%","1202","1168","2.91%","17.59","909","4.39","N","N","N","","",
"電腦及週邊設備業","3213","茂訊","237854","279","853","840","1.55%","744","734","1.36%","8.44","909","4.39","N","Y","N","公司因規模較小，組織結構也與同業不同，二大事業部的基層員工占比高，且年資相對淺，降低了平均薪資。","本公司已訂定合理的員工福利措施(包含薪酬、獎金、休假及各項福利等)，薪資報酬係依員工的專業能力、工作績效及考量公司未來營運風險等指標核定；另公司章程規定，公司年度如有獲利，提撥以5%~10%為員工酬勞。",
"電子零組件業","3217","優群","130694","102","1281","1151","11.29%","1040","954","9.01%","11.25","747","2.21","N","N","N","","",
"生技醫療業","3218","大學光","314416","268","1173","1150","2.00%","908","888","2.25%","12.57","787","0.41","N","N","N","","",
"其他電子業","3219","倚強科","104714","78","1342","1382","-2.89%","1129","1136","-0.62%","0.30","958","4.44","N","N","N","","",
"通信網路業","3221","台嘉碩","234330","417","562","547","2.74%","507","504","0.60%","0.98","840","2.51","N","N","N","","",
"電子通路業","3224","三顧","57289","75","764","803","-4.86%","684","668","2.40%","-1.01","812","1.36","N","N","Y","本公司已制定永續發展實務守則，第二十一條（二)本公司應訂定及實施合理員工福利措施，並將經營績效或成果，適當反映在員工薪酬，以確保人力資源之招募、留任和鼓勵，達成永續經營之目標。","業績獎金及年終獎金之方法。依據團隊經營績效與個人績效表現之權重核發。",
"電機機械","3226","龍鋒","91108","176","518","502","3.19%","433","419","3.34%","5.56","725","2.47","N","Y","N","營運績效:
2024年因台幣貶值，獲利受匯兌利益挹注，若以美元計算，營收與去年相當。
薪資較低：
1.基層員工占比高(約佔六成)，產線未有輪班制度，故無相關津貼加給獎金。
2.因今年生產產量下降，加班費減少。","持續配合勞基法及營運績效，逐年調整薪資，後續也配合證交法修章，將年度盈餘提撥一定比率給基層員工調整薪資或分派酬勞。",
"半導體業","3227","原相","1699204","561","3029","2500","21.16%","2864","2301","24.47%","12.52","1307","5.21","N","N","N","","",
"半導體業","3228","金麗科","114483","71","1612","1603","0.56%","1236","1216","1.64%","-0.34","1307","5.21","N","N","N","","",
"光電業","3230","錦明","29965","44","681","653","4.29%","494","588","-15.99%","3.83","856","2.40","N","Y","N","採取「控管人力成本、提高人均產值」策略，以精簡編制或職能整合提升獲利，造成平均薪資偏低的情形","定期參照同業薪資調查資料，依據職務類型、地區、年資等進行內部公平性與外部競爭力分析",
"電子通路業","3232","昱捷","31396","40","785","734","6.95%","663","629","5.41%","0.32","812","1.36","N","N","N","","",
"通信網路業","3234","光環","199883","268","746","761","-1.97%","639","660","-3.18%","-2.21","840","2.51","N","N","Y","113年經營績效雖較前一年成長，但仍持續虧損，因112年部份資深員工於下半年離職，其符合計入112年全時員工計算標準，113年新聘員工大多為到職未滿6個月，未符合計入113年全時員工計算標準，故本年申報數較上一年減少","本公司將依具整體營運狀況、員工個人績效表現及對公司貢獻度並參考同業水準給予合理的薪資報酬。",
"電子零組件業","3236","千如","119253","189","631","623","1.28%","514","522","-1.53%","0.04","747","2.21","N","N","N","","",
