產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-110年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-110年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
"電機機械","1560","中砂","1386401","1657","837","762","768","699","8.71","815","3.25","N","N","N","",
"汽車工業","1568","倉佑","231649","386","600","570","547","526","1.62","815","-2.37","N","Y","N","本公司111年度因獲利與調升經常性薪資因素，故相關的變動薪資(如:加班費和獎金等)、員工酬勞增加，本公司無薪資費用與經營績效不相當的情況發生。",
"電子零組件業","1582","信錦","213823","212","1009","940","869","803","3.00","1000","8.28","N","N","N","",
"電機機械","1583","程泰","281358","369","762","651","707","587","6.42","815","3.25","N","Y","N","1.外籍勞工人數約佔公司人力百分之十，其薪資水準低於本國勞工。
2.此薪酬調查僅針對台灣員工，但公司轉投資及海外子公司之獲利等因素皆會影響EPS高低，亦即並非所有獲利皆由台灣總公司所創造。",
"汽車工業","1587","吉茂","102380","199","514","564","498","541","2.01","815","-2.37","N","Y","Y","1.本公司工廠位於彰化地區地處偏鄉，人才要求不易致外籍員工人數較高拉低平均薪資，造成薪資平均數表現較低。
2.本公司依公司營運及獲利情況調薪幅度，111年調薪幅度約0%~4.5%。",
"電機機械","1597","直得","293706","446","659","740","628","665","3.91","815","3.25","N","Y","Y","同業與本公司之產品和專業技能不同，同業產品多以現行技術之設備製造加工為主。本公司秉持高品質產品，持續精進技術及製程先進精簡化，以降低人工依賴度。薪資報酬是依公司章程與綜合考量績效與貢獻度等因素執行。",
"運動休閒","1598","岱宇","290598","514","565","598","492","508","-0.61","920","7.61","N","N","N","本公司從事健身器材之研發、生產與銷售，工廠位於彰化縣，受市場需求衰退影響，111年度營運績效下滑，致非經理人之員工平均薪資減少至565仟元。",
"電器電纜","1603","華電","328044","582","564","538","479","472","2.07","881","3.42","N","N","N","",
"電器電纜","1604","聲寶","551719","669","825","798","737","715","1.82","881","3.42","N","N","N","",
"電器電纜","1605","華新","3333757","2755","1210","1190","991","967","5.45","881","3.42","N","N","N","",
"電器電纜","1608","華榮","287138","408","704","790","685","769","-0.09","881","3.42","N","N","N","",
"電器電纜","1609","大亞","459534","565","813","927","772","860","1.24","881","3.42","N","N","N","員工酬金組合主要包含基本固定薪資、獎金及福利，其中獎金連結績效考核，依個人績效表現、目標達成率、貢獻之價值與營運績效給予合理報酬。",
"電器電纜","1611","中電","464","1","464","1635","464","1100","0.24","881","3.42","Y","N","N","本公司為持續優化人力於110年進行組織重整及資遣，使得111年薪資平均數低於50萬。110年薪資平均數高於111年之主要差異係結清年資之資遣費所致。",
"電器電纜","1612","宏泰","294124","351","838","1188","706","991","1.12","881","3.42","N","N","N","",
"電器電纜","1614","三洋電","524511","895","586","567","562","549","1.13","881","3.42","N","N","N","",
"電器電纜","1615","大山","149467","223","670","616","600","558","2.90","881","3.42","N","N","N","",
"電器電纜","1616","億泰","115804","182","636","601","589","539","0.10","881","3.42","N","N","N","",
"電器電纜","1617","榮星","172188","241","714","698","658","640","0.33","881","3.42","N","N","N","",
"電器電纜","1618","合機","140889","196","719","676","673","640","1.29","881","3.42","N","N","N","",
"生技醫療業","1701","中化","559859","720","778","696","661","577","1.61","781","3.03","N","N","N","",
"食品工業","1702","南僑","38247","38","1007","1009","734","729","2.26","837","2.86","N","N","N","",
"生技醫療業","1707","葡萄王","375039","434","864","827","782","796","9.84","781","3.03","N","N","N","",
"化學工業","1708","東鹼","204937","158","1297","955","1052","886","4.84","908","2.06","N","N","N","",
"化學工業","1709","和益","365859","220","1663","1706","1495","1527","2.27","908","2.06","N","N","Y","1.係因提撥年終獎金較少，而計算年終獎金時，係以本業營業淨利及績效評估考量。
2.因和益111年度個體營業利益1,083,986仟元較110年度1,158,537仟元減少，故計算年終獎金時較少。",
"化學工業","1710","東聯","326890","324","1009","1061","928","981","0.04","908","2.06","N","N","N","",
"化學工業","1711","永光","922616","1174","786","741","743","707","0.68","908","2.06","N","N","N","",
"化學工業","1712","興農","1040897","1343","775","732","679","654","3.92","908","2.06","N","Y","N","1.本公司屬勞力密集之門市服務及生產製造業，與同業型態不同，銷售人員約佔50%、外籍移工5%，影響薪酬水準。不含銷售服務及移工之薪資應符合市場行情。
2.本公司每年均辦理全員調薪，並著重提高基層員工薪酬。",
"化學工業","1713","國化","60318","76","794","743","753","706","1.89","908","2.06","N","N","N","",
"化學工業","1714","和桐","70032","97","722","751","601","629","0.37","908","2.06","N","N","N","",
"化學工業","1717","長興","1880521","1970","955","979","816","824","2.15","908","2.06","N","N","N","",
