產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-112年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-112年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-111年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
"半導體業","3374","精材","1304895","1413","923","1030","694","736","5.07","1201","5.40","N","N","N","",
"電機機械","3379","彬台","46246","59","784","747","714","682","-0.12","695","2.14","N","N","N","",
"電子零組件業","3388","崇越電","126426","105","1204","1387","1195","1336","3.52","703","1.58","N","N","N","",
"電子零組件業","3390","旭軟","155101","286","542","556","477","488","1.00","703","1.58","N","N","N","",
"其他電子業","3402","漢科","391262","470","832","782","675","624","5.46","889","3.15","N","Y","N","因公司業務量增加，營運人力需求擴充，需補進大量人力並以基礎工程師為主，致平均薪資較前一年度減少。",
"電機機械","3426","台興","33478","51","656","605","571","512","2.36","695","2.14","N","Y","N","112年員工51人，其中本外籍作業員占51%，其薪資水準接近基本工資，故整體薪資較同業為低。",
"化學工業","3430","奇鈦科","95562","131","729","864","664","806","3.57","723","1.01","N","N","N","",
"光電業","3434","哲固","66818","104","642","686","543","594","0.55","853","2.19","N","N","N","",
"半導體業","3438","類比科","179474","122","1471","1658","1320","1494","0.00","1201","5.40","N","N","N","",
"光電業","3441","聯一光電","10021","17","589","592","580","579","0.51","853","2.19","N","N","N","",
"電子通路業","3444","利機","50605","52","973","1095","882","1023","2.16","783","-0.07","N","N","N","",
"光電業","3455","由田","328347","301","1091","1227","937","1056","5.25","853","2.19","N","N","N","",
"其他電子業","3465","進泰電子","13395","18","744","844","534","678","0.36","889","3.15","N","N","N","",
"通信網路業","3466","德晉","27138","36","754","669","695","622","-3.01","831","1.93","N","N","N","",
"電腦及週邊設備業","3479","安勤","337645","286","1181","1160","1026","997","8.38","890","3.92","N","N","N","",
"電腦及週邊設備業","3483","力致","167036","181","923","846","844","774","8.03","890","3.92","N","N","N","",
"電子零組件業","3484","崧騰","175725","204","861","975","763","827","1.55","703","1.58","N","N","N","",
"建材營造","3489","森寶","20476","23","890","993","797","880","0.12","955","2.42","N","N","N","",
